Price,Close,High,Low,Open,Volume
Ticker,BYDDY,BYDDY,BYDDY,BYDDY,BYDDY
Date,,,,,
2024-01-02,52.9132080078125,53.977382288550764,52.73584500122184,53.68177853050156,882200
2024-01-03,53.662071228027344,53.73104531309428,53.01174145539219,53.13983779571895,788300
2024-01-04,52.82452392578125,53.671924080612264,50.35129754283906,53.671924080612264,681100
2024-01-05,52.58803939819336,53.10042098161546,52.53877273338088,52.94276539893217,388400
2024-01-08,52.4205322265625,52.50921372715405,51.730787639606625,52.50921372715405,633200
2024-01-09,52.28258514404297,52.74569631556567,52.13478138705988,52.74569631556567,1066900
2024-01-10,51.75049591064453,52.055955253008634,51.59284032463853,52.055955253008634,496200
2024-01-11,53.376319885253906,53.9576755792058,52.87379386584738,53.908408912017826,549000
2024-01-12,53.09056854248047,53.65221678426505,53.01173887264132,53.484705615259614,309600
2024-01-16,51.376060485839844,52.07565688660237,51.287378987235755,52.0658050573377,638700
2024-01-17,49.35609817504883,49.40536483996239,49.08020184448839,49.20829442150254,722400
2024-01-18,49.71082305908203,49.976867554201654,49.415219317439835,49.809356386694255,322100
2024-01-19,49.809356689453125,49.95716044057538,49.09005286885625,49.49404552861081,476900
2024-01-22,48.92254638671875,49.011227887312415,48.30177588256307,48.47913888375041,510100
2024-01-23,50.87353515625,51.00162773237158,50.41042023991724,50.47939432207672,501400
2024-01-24,50.48925018310547,51.523865179894166,50.3414464297904,51.44503550911131,562300
2024-01-25,49.76994323730469,50.24291375051328,49.46448765608095,49.99657666433639,478700
2024-01-26,48.55796432495117,48.784593988979466,48.28206799636118,48.28206799636118,780200
2024-01-29,45.917232513427734,46.80404754946623,45.72016584657983,46.80404754946623,1104700
2024-01-30,44.81364059448242,45.099392505901065,44.58701093471072,45.06983325948035,1127900
2024-01-31,44.261844635009766,44.63627804827028,44.01550755553939,44.13375206002516,516900
2024-02-01,44.63628005981445,44.70525414447005,44.26184662968001,44.63628005981445,627500
2024-02-02,43.56224822998047,43.572103818090056,43.276496315691,43.51298156584914,774000
2024-02-05,43.040016174316406,43.28635326150512,42.98089392022108,43.21737917779673,567200
2024-02-06,46.20298385620117,46.3113727768751,45.20778366955133,45.67089484133222,637500
2024-02-07,46.30152130126953,46.48873613735261,46.045328621570874,46.30152130126953,604900
2024-02-08,46.321224212646484,46.57741688820721,46.074887125502684,46.54785764056776,484900
2024-02-09,46.3409309387207,46.78433844071981,45.97635310765726,46.48873469232227,375100
2024-02-12,47.48393630981445,47.740128989395494,46.50844353434817,46.53800278245148,443700
2024-02-13,46.27195739746094,47.02082424488947,46.12415740093563,46.90257973710245,422600
2024-02-14,46.478878021240234,46.478878021240234,45.94679279004283,46.31137061261275,245500
2024-02-15,46.390201568603516,46.4788793105918,46.18327556088069,46.30152006780962,319100
2024-02-16,47.98646545410156,48.15397286957501,47.59232461010833,47.99631728373885,489500
2024-02-20,45.907379150390625,46.5084422370973,45.680749484039936,46.31137181802543,573200
2024-02-21,46.89272689819336,47.23759730813498,46.72521572850346,47.16862322614666,417900
2024-02-22,46.961700439453125,47.00111527407992,46.52814853497488,46.95184861019918,370800
2024-02-23,46.3409309387207,47.0897977773871,46.31137169152263,47.0897977773871,277300
2024-02-26,48.488990783691406,48.538257448802675,47.385401698215475,47.39525352771549,671600
2024-02-27,50.33159637451172,50.84397421743904,49.82906660257101,50.25276670095015,933900
2024-02-28,48.341190338134766,49.523605325015254,48.213094002994005,49.523605325015254,817700
2024-02-29,48.65650177001953,49.17873518405682,48.41016468659733,48.85357218851841,594100
2024-03-01,49.139320373535156,49.41522046309586,48.76489071288341,49.20829445622393,364900
2024-03-04,47.533206939697266,48.62694047109115,47.29672167743557,48.429873804479755,626200
2024-03-05,48.01602554321289,48.439725642348215,47.80910328795305,48.400310805497085,420500
